0	0
0.1	7
0.185	4
0.27	14
0.36	19
0.425	1
0.58	19
0.725	0
1.475	0
1.575	17
1.645	1
1.725	19
1.775	15
1.85	6
1.905	19
1.965	18
2.025	1
2.075	13
2.11	17
2.155	1
2.205	19
2.33	13
2.4	4
2.4	6
2.465	19
2.505	6
2.585	20
2.73	0
3.48	0
3.58	19
3.635	1
3.735	20
3.79	20
3.85	6
3.915	7
3.995	18
4.085	1
4.13	13
4.18	21
4.245	1
4.285	13
4.325	19
4.415	6
4.48	15
4.575	1
4.62	21
4.695	4
4.695	6
4.815	19
4.85	6
4.915	20
4.985	19
5.045	4
5.1	19
5.155	4
5.155	6
5.355	0
6.105	0
6.205	20
6.27	4
6.325	19
6.365	21
6.42	2
6.42	6
6.62	0
